movie_id,imdb_id,tmdb_id,rating,average_rating,title
2005,0089218,9340,3.5,3.645,The Goonies (1985)
2006,0120746,9342,3.0,3.27627,The Mask of Zorro (1998)
2011,0096874,165,3.0,3.57633,Back to the Future Part II (1989)
2012,0099088,196,4.0,3.35042,Back to the Future Part III (1990)
2018,0034492,3170,3.5,3.48019,Bambi (1942)
2019,0047478,346,5.0,4.25145,Seven Samurai (1954)
2021,0087182,841,3.0,3.29944,Dune (1984)
2028,0120815,857,4.0,4.05563,Saving Private Ryan (1998)
2050,0080861,12129,2.5,2.51518,Herbie Goes Bananas (1980)
2051,0076137,14140,2.5,2.60227,Herbie Goes to Monte Carlo (1977)
2052,0107120,10439,3.0,3.12062,Hocus Pocus (1993)
2054,0097523,9354,2.5,2.7208,"Honey, I Shrunk the Kids (1989)"
2058,0120768,9631,4.0,3.59169,The Negotiator (1998)
2078,0061852,9325,3.5,3.63389,The Jungle Book (1967)
2080,0048280,10340,3.0,3.562,Lady and the Tramp (1955)
2081,0097757,10144,3.0,3.52516,The Little Mermaid (1989)
2085,0055254,12230,3.0,3.42834,One Hundred and One Dalmatians (1961)
2087,0046183,10693,4.0,3.54399,Peter Pan (1953)
2090,0076618,11319,3.0,3.45378,The Rescuers (1977)
2096,0053285,10882,3.5,3.55215,Sleeping Beauty (1959)
2100,0088161,2619,3.0,3.19428,Splash (1984)
2115,0087469,87,4.5,3.69869,Indiana Jones and the Temple of Doom (1984)
2124,0101272,2907,3.0,3.23492,The Addams Family (1991)
2138,0078480,11837,5.0,3.68632,Watership Down (1978)
2141,0090633,4978,3.5,3.376,An American Tail (1986)
2142,0101329,10380,3.0,3.05591,An American Tail: Fievel Goes West (1991)
2150,0080801,8393,4.0,3.64412,The Gods Must Be Crazy (1980)
2161,0088323,34584,3.0,3.51408,The NeverEnding Story (1984)
2163,0080391,2182,2.5,2.5,Attack of the Killer Tomatoes! (1978)
2167,0120611,36647,3.5,3.36256,Blade (1998)
2174,0094721,4011,2.5,3.49652,Beetlejuice (1988)
2193,0096446,847,4.0,3.46425,Willow (1988)
2273,0120812,2109,4.0,3.46102,Rush Hour (1998)
2288,0084787,1091,4.5,3.91121,The Thing (1982)
2291,0099487,162,3.0,3.71969,Edward Scissorhands (1990)
2294,0120587,8916,2.5,3.21028,Antz (1998)
2306,0120701,9713,3.5,2.51527,Holy Man (1998)
2316,0120791,6435,3.0,3.12157,Practical Magic (1998)
2322,0120157,9425,4.0,2.90296,Soldier (1998)
2324,0118799,637,5.0,4.16491,Life Is Beautiful (1997)
2329,0120586,73,4.0,4.13521,American History X (1998)
2335,0120484,10663,3.0,2.93736,The Waterboy (1998)
2355,0120623,9487,3.0,3.56043,A Bug's Life (1998)
2357,0140888,666,4.0,4.07722,Central Station (1998)
2378,0087928,9336,3.5,2.99663,Police Academy (1984)
2379,0089822,10157,3.5,2.48972,Police Academy 2: Their First Assignment (1985)
2380,0091777,12118,3.5,2.29348,Police Academy 3: Back in Training (1986)
2381,0093756,10587,3.5,2.16848,Police Academy 4: Citizens on Patrol (1987)
2382,0095882,11825,3.5,2.03615,Police Academy 5: Assignment Miami Beach (1988)
2383,0098105,11895,4.0,1.90637,Police Academy 6: City Under Siege (1989)
2384,0120595,9447,3.0,2.90964,Babe: Pig in the City (1998)
2394,0120794,9837,2.0,3.44669,The Prince of Egypt (1998)
2396,0138097,1934,4.0,3.78027,Shakespeare in Love (1998)
2402,0089880,1369,4.0,2.88672,Rambo: First Blood Part II (1985)
